pitcher_id,event
502009,Walk
502009,Double
502009,Single
502009,Sac Bunt
502009,Single
543272,Walk
543272,Groundout
622072,Single
622072,Single
622072,Walk
622072,Strikeout
622072,Grounded Into DP
543272,Strikeout
543272,Groundout
543272,Lineout
622072,Single
622072,Strikeout
622072,Grounded Into DP
543272,Strikeout
543272,Single
543272,Sac Bunt
543272,Groundout
622072,Strikeout
622072,Groundout
622072,Groundout
543272,Groundout
543272,Groundout
543272,Strikeout
622072,Walk
622072,Flyout
622072,Lineout
622072,Strikeout
543272,Groundout
543272,Pop Out
543272,Groundout
622072,Lineout
622072,Walk
622072,Triple
622072,Groundout
622072,Lineout
473879,Groundout
473879,Groundout
473879,Strikeout
594792,Walk
594792,Strikeout
594792,Flyout
594792,Flyout
473879,Walk
473879,Single
473879,Double
473879,Groundout
473879,Intent Walk
473879,Grounded Into DP
592533,Strikeout
592533,Strikeout
592533,Groundout
457768,Single
457768,Forceout
457768,Grounded Into DP
592533,Strikeout
592533,Single
592533,Flyout
592533,Strikeout
518553,Flyout
518553,Walk
518553,Single
518553,Walk
518553,Single
475479,Single
475479,Strikeout
475479,Single
475479,Groundout
462089,Walk
462089,Pop Out
462089,Strikeout
462089,Groundout
501992,Single
501992,Single
501992,Single
501992,Double
501992,Groundout
501992,Sac Fly
501992,Flyout
612672,Groundout
612672,Groundout
612672,Strikeout
501992,Walk
501992,Strikeout
501992,Flyout
501992,Home Run
501992,Walk
501992,Groundout
612672,Walk
612672,Single
612672,Flyout
612672,Groundout
612672,Strikeout
501992,Strikeout
501992,Groundout
501992,Groundout
612672,Triple
612672,Strikeout
612672,Groundout
612672,Strikeout
501992,Strikeout
501992,Groundout
501992,Strikeout
612672,Single
612672,Flyout
612672,Home Run
612672,Flyout
612672,Flyout
501992,Flyout
501992,Walk
501992,Grounded Into DP
612672,Groundout
612672,Hit By Pitch
612672,Walk
592332,Strikeout
592332,Walk
592332,Pop Out
501992,Hit By Pitch
501992,Grounded Into DP
501992,Walk
346797,Lineout
592332,Walk
592332,Strikeout
592332,Forceout
592332,Home Run
592332,Strikeout
346797,Single
346797,Walk
544993,Forceout
544993,Walk
544993,Grounded Into DP
592332,Strikeout
592332,Flyout
503285,Lineout
448178,Flyout
448178,Flyout
448178,Groundout
503285,Groundout
503285,Flyout
503285,Flyout
502202,Groundout
502202,Flyout
502202,Strikeout
502154,Strikeout
502154,Strikeout
502154,Strikeout
490063,Strikeout
490063,Lineout
490063,Flyout
543475,Lineout
543475,Pop Out
543475,Walk
543475,Pop Out
490063,Lineout
490063,Flyout
490063,Walk
490063,Single
490063,Lineout
543475,Groundout
543475,Lineout
543475,Single
543475,Strikeout
490063,Groundout
490063,Groundout
490063,Groundout
543475,Strikeout
543475,Groundout
543475,Groundout
490063,Double
490063,Flyout
490063,Double
490063,Double
490063,Single
490063,Single
490063,Strikeout
490063,Forceout
543475,Double
543475,Groundout
543475,Groundout
490063,Double
490063,Single
490063,Lineout
490063,Groundout
490063,Pop Out
543475,Double
543475,Hit By Pitch
543475,Single
543475,Grounded Into DP
543475,Double
543475,Groundout
592804,Double
592804,Single
592804,Strikeout
592804,Walk
592804,Sac Fly
592804,Groundout
543475,Flyout
543475,Lineout
543475,Groundout
592804,Double
592804,Single
592804,Lineout
592804,Strikeout
592804,Groundout
457429,Strikeout
457429,Flyout
457429,Strikeout
455009,Groundout
455009,Strikeout
455009,Groundout
493603,Strikeout
493603,Strikeout
493603,Groundout
408061,Lineout
408061,Strikeout
408061,Groundout
115629,Groundout
115629,Strikeout
115629,Single
115629,Flyout
425844,Flyout
425844,Strikeout
425844,Single
425844,Triple
425844,Strikeout
475115,Strikeout
475115,Groundout
475115,Strikeout
425844,Groundout
425844,Groundout
425844,Field Error
425844,Lineout
475115,Lineout
475115,Groundout
475115,Double
